name,link,Default Branch,SHA,Stargazers Count,Forks Count,Maven,Gradle,Travis CI,Github Actions,Maven Jacoco, Maven Cobertura,Maven Javadoc,Gradle Jacoco,Gradle Cobertura,Gradle Javadoc,Travis Codecov,Travis Jacoco, Travis Cobertura,Travis Javadoc,GA Codecov,GA Jacoco, GA Cobertura,GA Javadoc
spring-attic/spring-roo,https://github.com/spring-attic/spring-roo,master,ae56ba66d0b18e72fc7ff650e205ea03d6998aab,682,320,addon-backup/pom.xml;addon-cache/pom.xml;addon-cloud/pom.xml;addon-configurable/addon/pom.xml;addon-configurable/annotations/pom.xml;addon-configurable/pom.xml;addon-creator/pom.xml;addon-dbre/addon/pom.xml;addon-dbre/annotations/pom.xml;addon-dbre/pom.xml;addon-dto/addon/pom.xml;addon-dto/annotations/pom.xml;addon-dto/pom.xml;addon-email/addon/pom.xml;addon-email/pom.xml;addon-field/addon/pom.xml;addon-field/pom.xml;addon-javabean/addon/pom.xml;addon-javabean/annotations/pom.xml;addon-javabean/pom.xml;addon-jdbc/pom.xml;addon-jms/pom.xml;addon-jpa/addon/pom.xml;addon-jpa/annotations/pom.xml;addon-jpa/pom.xml;addon-layers-repository-jpa/addon/pom.xml;addon-layers-repository-jpa/annotations/pom.xml;addon-layers-repository-jpa/pom.xml;addon-layers-service/addon/pom.xml;addon-layers-service/annotations/pom.xml;addon-layers-service/pom.xml;addon-logging/pom.xml;addon-oscommands/pom.xml;addon-plural/addon/pom.xml;addon-plural/annotations/pom.xml;addon-plural/pom.xml;addon-propfiles/pom.xml;addon-push-in/pom.xml;addon-security/addon/pom.xml;addon-security/annotations/pom.xml;addon-security/pom.xml;addon-tailor/pom.xml;addon-test/pom.xml;addon-web-mvc-controller/addon/pom.xml;addon-web-mvc-controller/annotations/pom.xml;addon-web-mvc-controller/pom.xml;addon-web-mvc-embedded/pom.xml;addon-web-mvc-exceptions/addon/pom.xml;addon-web-mvc-exceptions/annotations/pom.xml;addon-web-mvc-exceptions/pom.xml;addon-web-mvc-i18n/pom.xml;addon-web-mvc-jsp/pom.xml;addon-web-mvc-thymeleaf/addon/pom.xml;addon-web-mvc-thymeleaf/annotations/pom.xml;addon-web-mvc-thymeleaf/pom.xml;addon-web-mvc-views/pom.xml;addon-web-selenium/pom.xml;addon-webflow/pom.xml;addon-ws/addon/pom.xml;addon-ws/annotations/pom.xml;addon-ws/pom.xml;annotations/pom.xml;pom.xml;runtime/application-config/pom.xml;runtime/bootstrap/pom.xml;runtime/classpath-antlrjavaparser/pom.xml;runtime/classpath/pom.xml;runtime/converters/pom.xml;runtime/deployment-support/pom.xml;runtime/felix/pom.xml;runtime/file-monitor/pom.xml;runtime/file-undo/pom.xml;runtime/gogo-commands/pom.xml;runtime/metadata/pom.xml;runtime/model/pom.xml;runtime/obr-manager/pom.xml;runtime/osgi-bundle/pom.xml;runtime/pom.xml;runtime/process-manager/pom.xml;runtime/project/pom.xml;runtime/project/src/test/resources/org/springframework/roo/project/empty/pom.xml;runtime/project/src/test/resources/org/springframework/roo/project/maven/inherited-groupId-pom.xml;runtime/project/src/test/resources/org/springframework/roo/project/maven/minimal-pom.xml;runtime/project/src/test/resources/org/springframework/roo/project/maven/parent-pom.xml;runtime/project/src/test/resources/org/springframework/roo/project/multi/foo-child/pom.xml;runtime/project/src/test/resources/org/springframework/roo/project/multi/pom.xml;runtime/project/src/test/resources/org/springframework/roo/project/single/pom.xml;runtime/propfiles-manager/pom.xml;runtime/rest-publisher/pom.xml;runtime/settings/pom.xml;runtime/shell-jline-osgi/pom.xml;runtime/shell-jline/pom.xml;runtime/shell-osgi/pom.xml;runtime/shell/pom.xml;runtime/startlevel/pom.xml;runtime/suite-manager/pom.xml;runtime/support/pom.xml;runtime/url-stream/pom.xml;web-ui/pom.xml;,,,,,,pom.xml;,,,,,,,,,,,
ogrisel/mahout,https://github.com/ogrisel/mahout,trunk,c32bdfc532e5a2adeffaf7d8d19c8e886d4508db,15,322,buildtools/pom.xml;core/pom.xml;distribution/pom.xml;eclipse/pom.xml;examples/pom.xml;math/pom.xml;pom.xml;taste-web/pom.xml;utils/pom.xml;,,,,,,core/pom.xml;math/pom.xml;pom.xml;,,,,,,,,,,,
paceuniversity/courses,https://github.com/paceuniversity/courses,master,a3ac13389fe4e2fb2d73722be7d09bd801ad31b2,3,322,,,,,,,,,,,,,,,,,,
dangdangdotcom/config-toolkit,https://github.com/dangdangdotcom/config-toolkit,master,f99984e4dccfa508b89b780e3647e6336b64aee7,500,323,config-face/pom.xml;config-toolkit-demo/pom.xml;config-toolkit/pom.xml;pom.xml;,,,,,,config-toolkit/pom.xml;,,,,,,,,,,,
wosyingjun/beauty_ssm_cluster,https://github.com/wosyingjun/beauty_ssm_cluster,master,4e488bd87415d9817145a15c6d3be6311927a337,500,323,pom.xml;,,,,,,,,,,,,,,,,,
nus-cs2103-AY1920S1/duke,https://github.com/nus-cs2103-AY1920S1/duke,master,baa18a5b60aee205f3593787bac4dc4a98a7687c,0,325,,,,,,,,,,,,,,,,,,
toddlipcon/parquet-mr,https://github.com/toddlipcon/parquet-mr,master,7ea3721c8559b96683854edf1594059eb6deda35,1,325,parquet-column/pom.xml;parquet-hadoop/pom.xml;parquet-pig/pom.xml;parquet-thrift/pom.xml;pom.xml;,,.travis.yml;,,,pom.xml;,,,,,,,,,,,,
nobunobuta/android_packages_apps_Contacts,https://github.com/nobunobuta/android_packages_apps_Contacts,donut,a3f4b7fd4b80cb3c442cf3204963f05ea5b31c2b,10,325,,,,,,,,,,,,,,,,,,
facebookarchive/nifty,https://github.com/facebookarchive/nifty,master,ccacff7f0a723abe0b9ed399bcc3bc85784e7396,905,325,nifty-client/pom.xml;nifty-core/pom.xml;nifty-examples/pom.xml;nifty-load-tester/pom.xml;nifty-ssl/pom.xml;pom.xml;,,,,,,,,,,,,,,,,,
Splitter/android_packages_apps_apolloMod,https://github.com/Splitter/android_packages_apps_apolloMod,master,5a0946b005ed9d3d684b0a59a14da7bf4e64308c,447,326,,,,,,,,,,,,,,,,,,
