Name,Link,Default Branch,SHA,Stargazers Count,Forks Count,Date
smuyyh/SprintNBA,https://github.com/smuyyh/SprintNBA,master,f3572703e7d4217e7b0d7038618b2e7db733b8d2,625,247,30/07/2022 19:31:48
java-online-course/java-basics-template,https://github.com/java-online-course/java-basics-template,master,d966d72197d57a17027814d017b7bfe6126819f6,2,249,30/07/2022 19:31:48
caelum/agiletickets,https://github.com/caelum/agiletickets,master,7d37c303dd9d3d11b7b8a965d2a988d9ff831816,117,249,30/07/2022 19:31:48
dianping/dianping-open-sdk,https://github.com/dianping/dianping-open-sdk,master,b382fae7c777f8a8b6e6470b51bb983867b90634,158,249,30/07/2022 19:31:48
wepe/PPD_RiskControlCompetition,https://github.com/wepe/PPD_RiskControlCompetition,master,2f54876c69c35e54cd45fb5a0722af0f50d78c0f,333,249,30/07/2022 19:31:48
gscokart/jbehave-core,https://github.com/gscokart/jbehave-core,master,8f84581618263adb84203ab77d5fac70cf6c1e83,1,250,30/07/2022 19:31:48
nobunobuta/android_packages_apps_DeskClock,https://github.com/nobunobuta/android_packages_apps_DeskClock,eclair-backport,51da616822d74ed139a3127cbfa3f64e60d2164c,6,251,30/07/2022 19:31:48
woyaowenzi/ACDD,https://github.com/woyaowenzi/ACDD,master,130e232a7b9cf9941fff2a0a594bed8702ed4aab,14,251,30/07/2022 19:31:48
bh5k/spring_mvc_base,https://github.com/bh5k/spring_mvc_base,master,a75732371c99be59f3be26d4f664ba173d02cb82,83,252,30/07/2022 19:31:48
VersoSolutions/CordovaClipboard,https://github.com/VersoSolutions/CordovaClipboard,master,03fe48b62411cbff22229ca13cc3ac8b282f7945,144,252,30/07/2022 19:31:48
42BV/spring-test-mvc,https://github.com/42BV/spring-test-mvc,master,016379042dec8aaac496a02d5d09d41d08b42897,1,253,30/07/2022 19:31:48
virtual-labs-archive/hydraulics-and-fluid-mechanics-iiith-ph2,https://github.com/virtual-labs-archive/hydraulics-and-fluid-mechanics-iiith-ph2,master,2127dc2dc362ec244ec818035560a51a27fd89bf,0,254,30/07/2022 19:31:48
dat100hib/dat100-jplab11-startkode,https://github.com/dat100hib/dat100-jplab11-startkode,master,7136fab63563dc37ffb2f508f07711477981d6a8,1,254,30/07/2022 19:31:48
GamingMesh/Jobs,https://github.com/GamingMesh/Jobs,master,a71d24bfbe86dec2de75cfa1df9edc1b727e9e89,94,255,30/07/2022 19:31:48
xuyisheng/DesignSupportLibraryDemo,https://github.com/xuyisheng/DesignSupportLibraryDemo,master,3468f797839ac9ffaa4a90dc6d75bff369b8d35d,717,257,30/07/2022 19:31:48
BurstProject/burstcoin,https://github.com/BurstProject/burstcoin,master,efaf44781b0f5101a86356571f90c8a56652a1e5,79,257,30/07/2022 19:31:48
freezy/android-xbmcremote,https://github.com/freezy/android-xbmcremote,master,9dd0d41d55639b846fad0d49fc316042962c3dbf,365,258,30/07/2022 19:31:48
jponge/izpack,https://github.com/jponge/izpack,master,76c0126f9ce5d1aa5c9f025918cf1d8457ece15d,56,258,30/07/2022 19:31:48
wso2-attic/carbon-identity,https://github.com/wso2-attic/carbon-identity,master,7a421e21941ff48914115f772d01027766f556a5,19,259,30/07/2022 19:31:48
google/search-samples,https://github.com/google/search-samples,master,96d69e3e81a703f617ac286d5c127d6abb3b0940,544,259,30/07/2022 19:31:48
Lovnx/micro-service,https://github.com/Lovnx/micro-service,master,06c57c89a0c63774b0cbe19def3ab86d095808b7,343,260,30/07/2022 19:31:48
youxin11544/MVP-RxJava-Hybride,https://github.com/youxin11544/MVP-RxJava-Hybride,master,0a3cd1865e69b9a54c4369883607f90f3cbc81ba,858,260,30/07/2022 19:31:48
roman10/roman10-android-tutorial,https://github.com/roman10/roman10-android-tutorial,master,ae16a87940df683545dd6322e2597e01f4e1199b,312,261,30/07/2022 19:31:48
telecapoland/jamendo-android,https://github.com/telecapoland/jamendo-android,master,6b31c7ba27441a79d4436a499b6c9c9301d21505,424,261,30/07/2022 19:31:48
cn-ljb/rxjava_for_android,https://github.com/cn-ljb/rxjava_for_android,master,30ef3c6bd50eb65c8182391318adb2be5997b0d8,1070,261,30/07/2022 19:31:48
MithunTechnologiesDevOps/ant-standalone-application,https://github.com/MithunTechnologiesDevOps/ant-standalone-application,master,bf2eda94fc1d31b6cc72277cc6b3667410bbe2da,1,271,30/07/2022 19:31:48
KiraKill/FuckMFS,https://github.com/KiraKill/FuckMFS,master,f6e80a8c7bef8ab37d9cfe468b9cc132f3576af5,66,277,30/07/2022 19:37:17
JavaTutorialNetwork/Tutorials,https://github.com/JavaTutorialNetwork/Tutorials,master,aa23452910f108f0dea63a58e92188b910d0047b,41,280,30/07/2022 19:37:17
CyanogenMod/android_packages_services_Telephony,https://github.com/CyanogenMod/android_packages_services_Telephony,cm-14.1,42087ba9ec809f8e31418eb188e1060064be66f6,10,281,30/07/2022 19:37:17
BlueMor/Android-PullLayout,https://github.com/BlueMor/Android-PullLayout,master,dd2f4b51f99a1d6427a71fbbc9dcdffc2c128d39,873,282,30/07/2022 19:37:17
waylife/RedEnvelopeAssistant,https://github.com/waylife/RedEnvelopeAssistant,master,c37636118e1c9a3d605f632aa209e164d9dae70f,573,283,30/07/2022 19:37:17
long1eu/SpaceTabLayout,https://github.com/long1eu/SpaceTabLayout,master,94eeb750adac230474ab245189449dd7975ed2e9,1605,284,30/07/2022 19:37:17
bloominstituteoftechnology/Sprint-Challenge--RDBMS-and-API-Intros-java-todos,https://github.com/bloominstituteoftechnology/Sprint-Challenge--RDBMS-and-API-Intros-java-todos,master,d89b314d7994754da09908a1db799ff3dcbab6f8,1,284,30/07/2022 19:37:17
amahi/android,https://github.com/amahi/android,beta,22da958938b0e950a7c23408272ac267e87b088e,155,285,30/07/2022 19:37:17
xiepeijie/SwipeCardView,https://github.com/xiepeijie/SwipeCardView,master,b8caed6296fd1ff1547cf022e62c45b71c0ee11b,1432,285,30/07/2022 19:37:17
bootsrc/jseckill,https://github.com/bootsrc/jseckill,master,8ff949954fd2bb184b032bed2e782c37a053454a,730,285,30/07/2022 19:37:17
facebookarchive/device-year-class,https://github.com/facebookarchive/device-year-class,master,a6dc1f304da919a8bf4105ae35babfb51d04531d,2578,285,30/07/2022 19:37:17
lifove/FileIO,https://github.com/lifove/FileIO,master,e2d827a734b8343593b75c196d0a389d7354ce23,0,286,30/07/2022 19:31:48
chuangWu/easy-video-player,https://github.com/chuangWu/easy-video-player,master,5a95acd5c66bb5d0a02c6ed1a697153b9816e50a,15,287,30/07/2022 19:37:17
microsoftarchive/android-sliding-layer-lib,https://github.com/microsoftarchive/android-sliding-layer-lib,master,1c6be9a04a41f56f8bf0fa6f69bde29d9641653f,943,287,30/07/2022 19:37:17
feicien/android-auto-update,https://github.com/feicien/android-auto-update,master,789f46be8996322ca54bf8ad7e6c210c653d97ed,994,287,30/07/2022 19:37:17
fusky/TTAndroidClient,https://github.com/fusky/TTAndroidClient,master,9baa1df26ad28047c10e7fb28da539ab396257ef,0,288,30/07/2022 19:37:17
googleapis/google-api-java-client-services,https://github.com/googleapis/google-api-java-client-services,main,4c81c4eff67c20d11f3287b5f233bee935b588c3,394,288,30/07/2022 19:37:17
DataStax-Academy/cassandra-workshop-series,https://github.com/DataStax-Academy/cassandra-workshop-series,master,06574469b2502a13fd0ae5fd69ce70662b4261c0,362,288,30/07/2022 19:37:17
googlearchive/android-ads,https://github.com/googlearchive/android-ads,master,73fac9659c6680b675f46935657ee9d3dd94a3a9,235,289,30/07/2022 19:37:17
CycloneAxe/phphub-android,https://github.com/CycloneAxe/phphub-android,master,ccd4ae74bb44b3995abab02fb8fbb65265a86c7f,962,289,30/07/2022 19:37:17
liferay/liferay-faces,https://github.com/liferay/liferay-faces,master,e4a96ca8a01e82d648cc183b4ccc87f215e2772c,83,289,30/07/2022 19:37:17
pengjianbo/OkHttpFinal,https://github.com/pengjianbo/OkHttpFinal,master,30b6640fc9dc4b8229ed35c7ac2818b76ba54dda,856,289,30/07/2022 19:37:17
mrwonderman/android-square-progressbar,https://github.com/mrwonderman/android-square-progressbar,master,29cf16eaded3ed355c03e68b0c7d26339ac6fafc,1275,289,30/07/2022 19:37:17
barruecco/food-delivery,https://github.com/barruecco/food-delivery,master,fe639d4be5f87f42ea0ec13c51a5d909f26d592e,7,289,30/07/2022 19:37:17
ScottOaks/JavaPerformanceTuning,https://github.com/ScottOaks/JavaPerformanceTuning,master,cb9b80e096d2410b8ce5c5fca237181baf8d7b8b,605,290,30/07/2022 19:37:17
christ66/cobertura,https://github.com/christ66/cobertura,master,2f3cc0b5d3cc2b85a488b1f523f418a3d3debda5,27,290,30/07/2022 19:37:17
badoo/android-weak-handler,https://github.com/badoo/android-weak-handler,master,1c08b4e58f1861dcf0c7412e05c745aa3bd0b29f,1530,291,30/07/2022 19:37:17
Huawei-Hadoop/hindex,https://github.com/Huawei-Hadoop/hindex,master,9aa98d80543f069208f651322c38029d35d694ac,589,293,30/07/2022 19:37:17
benwilcock/cqrs-microservice-sampler,https://github.com/benwilcock/cqrs-microservice-sampler,master,dae28c77e50310390e2b24d9236a5301b6ae7a72,628,293,30/07/2022 19:37:17
aws-samples/amazon-ecs-java-microservices,https://github.com/aws-samples/amazon-ecs-java-microservices,master,cb5671352cfb9e713db71e526e5265d0e7a38405,326,294,30/07/2022 19:37:17
in28minutes/azure-devops-kubernetes-terraform-pipeline,https://github.com/in28minutes/azure-devops-kubernetes-terraform-pipeline,master,988f079b7ec92110afdc1fe771d0f85f92ec6b8c,47,300,30/07/2022 19:31:48
ragsns/hello-world-spring-boot,https://github.com/ragsns/hello-world-spring-boot,master,cef90aab7afa62f3fc7bd11e47e24d1d3566c6c6,9,306,30/07/2022 19:31:48
super30admin/Competitive-Coding-6,https://github.com/super30admin/Competitive-Coding-6,master,d56dcdc6041c07c323c7b9fabe21582a4a31eaa0,0,313,30/07/2022 19:31:48
leereilly/hello-world-java,https://github.com/leereilly/hello-world-java,master,16cf8898492d5497d1b2e5928eba31ef969a4af6,6,315,30/07/2022 19:37:17
ImmortalZ/StereoView,https://github.com/ImmortalZ/StereoView,master,d263062bd2b5908f37201a2443304f5a56d49520,1679,341,30/07/2022 19:48:09
mgarzon/ProductCatalog,https://github.com/mgarzon/ProductCatalog,master,5f46fe24a6287b0de60917af3805ded82e2d09c7,0,341,30/07/2022 19:48:09
mcxiaoke/minicat,https://github.com/mcxiaoke/minicat,master,7eb699eb1aeacbe267ad34aeaf4ea9500cc159f6,680,341,30/07/2022 19:48:09
hzuapps/android-labs-2018,https://github.com/hzuapps/android-labs-2018,master,47c52527be7dcdbad3e5733b6683e5f19509d8ff,19,343,30/07/2022 19:48:09
cs125-illinois/Fall-2017-Lab10,https://github.com/cs125-illinois/Fall-2017-Lab10,master,b6b442900638c6f4402897c43330519a1fe3f467,0,343,30/07/2022 19:48:09
hexene/LocalVPN,https://github.com/hexene/LocalVPN,master,d48572c4ecbc8d31de08bcafd4de633564a23db4,835,344,30/07/2022 19:48:09
sd4324530/fastweixin,https://github.com/sd4324530/fastweixin,master,6bc0a7abfa23aad0dbad4c3123a47a7fb53f3447,781,345,30/07/2022 19:48:09
wenmingvs/NotifyUtil,https://github.com/wenmingvs/NotifyUtil,master,c62e10d760883381cd06671539b038e5e7ec25c9,1663,345,30/07/2022 19:48:09
nicolasgramlich/AndEngineExamples,https://github.com/nicolasgramlich/AndEngineExamples,GLES2,75b657b2cd7e1153e005a917753b6d0390e034d5,377,345,30/07/2022 19:48:09
mission008/B2CWeb,https://github.com/mission008/B2CWeb,master,9c89f7b328f0425ae5581ef563d5a43f6d86f49d,480,345,30/07/2022 19:48:09
eclipse/californium,https://github.com/eclipse/californium,main,dc1fe149abb85cca4e6c2ddd95654216a790b38d,628,345,30/07/2022 19:48:09
in28minutes/deploy-spring-microservices-to-aws-ecs-fargate,https://github.com/in28minutes/deploy-spring-microservices-to-aws-ecs-fargate,master,2d6d655aeee2f237688387fe9d3f069fdaacd332,210,345,30/07/2022 19:48:09
naveenanimation20/SeleniumJavaCourse,https://github.com/naveenanimation20/SeleniumJavaCourse,master,07996997fe9b87e90f301e66c017b09057e53676,167,347,30/07/2022 19:48:09
adarsh-dayanand/Accenture-learning-modules,https://github.com/adarsh-dayanand/Accenture-learning-modules,master,0d8462978d586cd1b79638cce6f8cd88042b0c66,136,348,30/07/2022 19:45:41
nathanmarz/storm-contrib,https://github.com/nathanmarz/storm-contrib,master,a4a9eaac30f4d1738e140076608c85fc26e10f69,583,348,30/07/2022 19:45:53
opentracing/opentracing-java,https://github.com/opentracing/opentracing-java,master,a8557d7c7a56210cbcf6bc518fe24b32923aa66f,1635,348,30/07/2022 19:48:09
wso2/msf4j,https://github.com/wso2/msf4j,master,af5e1c92f61c1b74e1dbd43a42850d86da364a17,356,348,30/07/2022 19:48:09
CP2406Programming2/cp2406_farrell8_ch01,https://github.com/CP2406Programming2/cp2406_farrell8_ch01,master,889efeb0b1cad37ed92ab86d108f34659ebd09e5,1,349,30/07/2022 19:45:53
cloudera/cdh-twitter-example,https://github.com/cloudera/cdh-twitter-example,master,5e87280c548608f976975753bee1e82fe8f13e41,286,349,30/07/2022 19:45:53
nuxeo/nuxeo,https://github.com/nuxeo/nuxeo,10.10,ba218cb39a8b0da9e71e00dc9d8693ab19231b82,506,349,30/07/2022 19:48:09
floatinghotpot/cordova-admob-pro,https://github.com/floatinghotpot/cordova-admob-pro,master,cd984c9cb5295da929e211fd902f45b333f4cfe5,700,349,30/07/2022 19:48:09
LaunchCodeEducation/sorting-cities,https://github.com/LaunchCodeEducation/sorting-cities,master,50f7e61d06bfbe6067c61e40fe8bddbaa47628b4,1,350,30/07/2022 19:45:53
Etar-Group/Etar-Calendar,https://github.com/Etar-Group/Etar-Calendar,master,e58857fb84b84f3a3f9f89a9724e9ffb9c0dfae4,1405,350,30/07/2022 19:45:53
kongzhidea/pay,https://github.com/kongzhidea/pay,master,fa684b64d74c1b851dccff9ae957dd2f7bb81074,545,350,30/07/2022 19:45:53
JamesZBL/java_design_patterns,https://github.com/JamesZBL/java_design_patterns,master,517a9b371396dc60d62f1afb1c25e51b0ef0ba20,606,350,30/07/2022 19:45:53
