name,link,Default Branch,SHA,Stargazers Count,Forks Count,Date,Maven,Gradle,Travis CI,Github Actions
kaustubhgupta/Hacktoberfest,https://github.com/kaustubhgupta/Hacktoberfest,master,27512ab9431a4397b55049ea829fdd800b74d5ab,59,290,21/07/2022 16:38:45,,,,.github/workflows/greetings.yml;.github/workflows/issues_label.yml;.github/workflows/stale_PR.yml;
eclipse/birt,https://github.com/eclipse/birt,master,826bf9186ff87c4e613d0da0b34a6dd4096a6576,290,300,21/07/2022 16:38:45,UI/org.eclipse.birt.report.debug.core/pom.xml;UI/org.eclipse.birt.report.debug.ui/pom.xml;UI/org.eclipse.birt.report.designer.core/pom.xml;UI/org.eclipse.birt.report.designer.samplereports/pom.xml;UI/org.eclipse.birt.report.designer.tests/pom.xml;UI/org.eclipse.birt.report.designer.ui.cubebuilder/pom.xml;UI/org.eclipse.birt.report.designer.ui.data/pom.xml;UI/org.eclipse.birt.report.designer.ui.editor.script/pom.xml;UI/org.eclipse.birt.report.designer.ui.editor.xml.wtp/pom.xml;UI/org.eclipse.birt.report.designer.ui.editors.schematic/pom.xml;UI/org.eclipse.birt.report.designer.ui.editors/pom.xml;UI/org.eclipse.birt.report.designer.ui.ide/pom.xml;UI/org.eclipse.birt.report.designer.ui.lib.explorer/pom.xml;UI/org.eclipse.birt.report.designer.ui.lib/pom.xml;UI/org.eclipse.birt.report.designer.ui.preview.static_html/pom.xml;UI/org.eclipse.birt.report.designer.ui.preview.test/pom.xml;UI/org.eclipse.birt.report.designer.ui.preview.web/pom.xml;UI/org.eclipse.birt.report.designer.ui.preview/pom.xml;UI/org.eclipse.birt.report.designer.ui.rcp/pom.xml;UI/org.eclipse.birt.report.designer.ui.samples.ide/pom.xml;UI/org.eclipse.birt.report.designer.ui.samples.rcp/pom.xml;UI/org.eclipse.birt.report.designer.ui.samplesview/pom.xml;UI/org.eclipse.birt.report.designer.ui.views/pom.xml;UI/org.eclipse.birt.report.designer.ui/pom.xml;UI/pom.xml;build/birt-packages/birt-charts/ChartRuntime/pom.xml;build/birt-packages/birt-charts/ChartSDK/pom.xml;build/birt-packages/birt-charts/DeploymentRuntime/pom.xml;build/birt-packages/birt-charts/pom.xml;build/birt-packages/birt-epp/pom.xml;build/birt-packages/birt-integration-test/pom.xml;build/birt-packages/birt-nl/birt-charts/pom.xml;build/birt-packages/birt-nl/birt-rcp-report-designer/pom.xml;build/birt-packages/birt-nl/birt-report-designer-all-in-one/pom.xml;build/birt-packages/birt-nl/birt-report-framework/pom.xml;build/birt-packages/birt-nl/birt-runtime/pom.xml;build/birt-packages/birt-nl/pom.xml;build/birt-packages/birt-publish/pom.xml;build/birt-packages/birt-report-all-in-one/pom.xml;build/birt-packages/birt-report-framework-sdk/pom.xml;build/birt-packages/birt-report-framework/pom.xml;build/birt-packages/birt-report-rcp/pom.xml;build/birt-packages/birt-runtime-osgi/pom.xml;build/birt-packages/birt-runtime-test/pom.xml;build/birt-packages/birt-runtime/pom.xml;build/birt-packages/birt-sample-plugins/pom.xml;build/birt-packages/birt-source/pom.xml;build/birt-packages/birt-tests-suite/pom.xml;build/birt-packages/birt-wtp-integration-sdk/pom.xml;build/birt-packages/pom.xml;build/org.eclipse.birt.api/pom.xml;build/org.eclipse.birt.build/pom.xml;build/org.eclipse.birt.chart/pom.xml;build/org.eclipse.birt.example/pom.xml;build/org.eclipse.birt.p2updatesite/pom.xml;build/org.eclipse.birt.releng.birtbuilder/extras/pom.xml;build/org.eclipse.birt.sdk/pom.xml;build/org.eclipse.birt.target/pom.xml;build/org.eclipse.birt/pom.xml;build/pom.xml;chart/org.eclipse.birt.chart.device.extension/pom.xml;chart/org.eclipse.birt.chart.device.pdf/pom.xml;chart/org.eclipse.birt.chart.device.svg/pom.xml;chart/org.eclipse.birt.chart.device.swt/pom.xml;chart/org.eclipse.birt.chart.engine.extension/pom.xml;chart/org.eclipse.birt.chart.engine/pom.xml;chart/org.eclipse.birt.chart.examples.core/pom.xml;chart/org.eclipse.birt.chart.examples/pom.xml;chart/org.eclipse.birt.chart.integration.wtp.ui/pom.xml;chart/org.eclipse.birt.chart.reportitem.ui/pom.xml;chart/org.eclipse.birt.chart.reportitem/pom.xml;chart/org.eclipse.birt.chart.tests/pom.xml;chart/org.eclipse.birt.chart.ui.extension/pom.xml;chart/org.eclipse.birt.chart.ui/pom.xml;chart/org.eclipse.birt.chart.viewer/pom.xml;chart/pom.xml;common/javax.xml.rpc/META-INF/maven/javax.xml.rpc/javax.xml.rpc-api/pom.xml;common/javax.xml.rpc/pom.xml;common/org.apache.axis/pom.xml;common/org.apache.batik.dom.birt.ext/pom.xml;common/org.apache.batik.transcoder.birt.ext/pom.xml;common/org.apache.derby.core/pom.xml;common/org.w3c.dom.svg.extension/pom.xml;common/org.w3c.sac/pom.xml;common/pom.xml;core/org.eclipse.birt.branding/pom.xml;core/org.eclipse.birt.core.testhelper/pom.xml;core/org.eclipse.birt.core.tests/pom.xml;core/org.eclipse.birt.core.ui/pom.xml;core/org.eclipse.birt.core/pom.xml;core/pom.xml;data/org.eclipse.birt.core.script.function/pom.xml;data/org.eclipse.birt.data.aggregation/pom.xml;data/org.eclipse.birt.data.oda.mongodb.ui/pom.xml;data/org.eclipse.birt.data.oda.mongodb/pom.xml;data/org.eclipse.birt.data.oda.pojo.tests/pom.xml;data/org.eclipse.birt.data.oda.pojo.ui/pom.xml;data/org.eclipse.birt.data.oda.pojo/pom.xml;data/org.eclipse.birt.data.tests/pom.xml;data/org.eclipse.birt.data/pom.xml;data/org.eclipse.birt.me.prettyprint.hector/pom.xml;data/org.eclipse.birt.report.data.adapter/pom.xml;data/org.eclipse.birt.report.data.bidi.utils.ui/pom.xml;data/org.eclipse.birt.report.data.bidi.utils/pom.xml;data/org.eclipse.birt.report.data.oda.excel.ui/pom.xml;data/org.eclipse.birt.report.data.oda.excel/pom.xml;data/org.eclipse.birt.report.data.oda.hive.ui/pom.xml;data/org.eclipse.birt.report.data.oda.hive/pom.xml;data/org.eclipse.birt.report.data.oda.jdbc.dbprofile.sampledb.ui/pom.xml;data/org.eclipse.birt.report.data.oda.jdbc.dbprofile.sampledb/pom.xml;data/org.eclipse.birt.report.data.oda.jdbc.dbprofile.ui/pom.xml;data/org.eclipse.birt.report.data.oda.jdbc.dbprofile/pom.xml;data/org.eclipse.birt.report.data.oda.jdbc.tests/pom.xml;data/org.eclipse.birt.report.data.oda.jdbc.ui/pom.xml;data/org.eclipse.birt.report.data.oda.jdbc/pom.xml;data/org.eclipse.birt.report.data.oda.sampledb.ui/pom.xml;data/org.eclipse.birt.report.data.oda.sampledb/pom.xml;data/org.eclipse.birt.report.data.oda.xml.ui/pom.xml;data/org.eclipse.birt.report.data.oda.xml/pom.xml;data/org.eclipse.birt.report.engine.script.javascript/pom.xml;data/pom.xml;docs/org.eclipse.birt.chart.cshelp/pom.xml;docs/org.eclipse.birt.chart.doc.isv/pom.xml;docs/org.eclipse.birt.cshelp/pom.xml;docs/org.eclipse.birt.doc.isv/pom.xml;docs/org.eclipse.birt.doc/pom.xml;docs/pom.xml;engine/org.eclipse.birt.report.engine.dataextraction.csv.tests/pom.xml;engine/org.eclipse.birt.report.engine.dataextraction.csv/pom.xml;engine/org.eclipse.birt.report.engine.dataextraction/pom.xml;engine/org.eclipse.birt.report.engine.emitter.config.docx/pom.xml;engine/org.eclipse.birt.report.engine.emitter.config.excel/pom.xml;engine/org.eclipse.birt.report.engine.emitter.config.html/pom.xml;engine/org.eclipse.birt.report.engine.emitter.config.odp/pom.xml;engine/org.eclipse.birt.report.engine.emitter.config.ods/pom.xml;engine/org.eclipse.birt.report.engine.emitter.config.odt/pom.xml;engine/org.eclipse.birt.report.engine.emitter.config.pdf/pom.xml;engine/org.eclipse.birt.report.engine.emitter.config.postscript/pom.xml;engine/org.eclipse.birt.report.engine.emitter.config.ppt/pom.xml;engine/org.eclipse.birt.report.engine.emitter.config.pptx/pom.xml;engine/org.eclipse.birt.report.engine.emitter.config.wpml/pom.xml;engine/org.eclipse.birt.report.engine.emitter.config/pom.xml;engine/org.eclipse.birt.report.engine.emitter.docx/pom.xml;engine/org.eclipse.birt.report.engine.emitter.html.tests/pom.xml;engine/org.eclipse.birt.report.engine.emitter.html/pom.xml;engine/org.eclipse.birt.report.engine.emitter.odp/pom.xml;engine/org.eclipse.birt.report.engine.emitter.ods/pom.xml;engine/org.eclipse.birt.report.engine.emitter.odt/pom.xml;engine/org.eclipse.birt.report.engine.emitter.pdf.tests/pom.xml;engine/org.eclipse.birt.report.engine.emitter.pdf/pom.xml;engine/org.eclipse.birt.report.engine.emitter.postscript.tests/pom.xml;engine/org.eclipse.birt.report.engine.emitter.postscript/pom.xml;engine/org.eclipse.birt.report.engine.emitter.ppt/pom.xml;engine/org.eclipse.birt.report.engine.emitter.pptx.tests/pom.xml;engine/org.eclipse.birt.report.engine.emitter.pptx/pom.xml;engine/org.eclipse.birt.report.engine.emitter.prototype.excel.tests/pom.xml;engine/org.eclipse.birt.report.engine.emitter.prototype.excel/pom.xml;engine/org.eclipse.birt.report.engine.emitter.wpml/pom.xml;engine/org.eclipse.birt.report.engine.fonts/pom.xml;engine/org.eclipse.birt.report.engine.odf/pom.xml;engine/org.eclipse.birt.report.engine.ooxml/pom.xml;engine/org.eclipse.birt.report.engine.testhelper/pom.xml;engine/org.eclipse.birt.report.engine.tests/pom.xml;engine/org.eclipse.birt.report.engine/pom.xml;engine/pom.xml;engine/uk.co.spudsoft.birt.emitters.excel.tests/pom.xml;engine/uk.co.spudsoft.birt.emitters.excel/pom.xml;features/org.eclipse.birt.chart.cshelp.feature/pom.xml;features/org.eclipse.birt.chart.doc.isv.feature/pom.xml;features/org.eclipse.birt.chart.feature/pom.xml;features/org.eclipse.birt.chart.integration.wtp.feature/pom.xml;features/org.eclipse.birt.chart.osgi.runtime.sdk/pom.xml;features/org.eclipse.birt.chart.osgi.runtime/pom.xml;features/org.eclipse.birt.chart.viewer.feature/pom.xml;features/org.eclipse.birt.cshelp.feature/pom.xml;features/org.eclipse.birt.doc.feature/pom.xml;features/org.eclipse.birt.doc.isv.feature/pom.xml;features/org.eclipse.birt.engine.runtime/pom.xml;features/org.eclipse.birt.example.feature/pom.xml;features/org.eclipse.birt.feature/pom.xml;features/org.eclipse.birt.integration.wtp.feature/pom.xml;features/org.eclipse.birt.integration.wtp.sdk.feature/pom.xml;features/org.eclipse.birt.nl.feature/pom.xml;features/org.eclipse.birt.osgi.runtime.sdk/pom.xml;features/org.eclipse.birt.osgi.runtime/pom.xml;features/org.eclipse.birt.rcp.feature/pom.xml;features/org.eclipse.birt.rcp.nl.feature/pom.xml;features/org.eclipse.birt.report.designer.editor.xml.wtp.feature/pom.xml;features/org.eclipse.birt.sdk.feature/pom.xml;features/org.eclipse.birt.testhelper.feature/pom.xml;features/org.eclipse.birt.tests.feature/pom.xml;features/org.eclipse.birt.wtp.nl.feature/pom.xml;features/pom.xml;model/org.eclipse.birt.report.model.adapter.oda.tests/pom.xml;model/org.eclipse.birt.report.model.adapter.oda/pom.xml;model/org.eclipse.birt.report.model.testhelper/pom.xml;model/org.eclipse.birt.report.model.testresources/pom.xml;model/org.eclipse.birt.report.model.tests/pom.xml;model/org.eclipse.birt.report.model/pom.xml;model/org.eclipse.birt.report.modelextension.tests/pom.xml;model/org.eclipse.birt.resources/pom.xml;model/pom.xml;nl/org.eclipse.birt.chart.device.extension.nl/pom.xml;nl/org.eclipse.birt.chart.device.svg.nl/pom.xml;nl/org.eclipse.birt.chart.device.swt.nl/pom.xml;nl/org.eclipse.birt.chart.engine.extension.nl/pom.xml;nl/org.eclipse.birt.chart.engine.nl/pom.xml;nl/org.eclipse.birt.chart.examples.core.nl/pom.xml;nl/org.eclipse.birt.chart.examples.nl/pom.xml;nl/org.eclipse.birt.chart.integration.wtp.ui.nl/pom.xml;nl/org.eclipse.birt.chart.reportitem.nl/pom.xml;nl/org.eclipse.birt.chart.reportitem.ui.nl/pom.xml;nl/org.eclipse.birt.chart.ui.extension.nl/pom.xml;nl/org.eclipse.birt.chart.ui.nl/pom.xml;nl/org.eclipse.birt.core.nl/pom.xml;nl/org.eclipse.birt.core.script.function.nl/pom.xml;nl/org.eclipse.birt.core.ui.nl/pom.xml;nl/org.eclipse.birt.data.aggregation.nl/pom.xml;nl/org.eclipse.birt.data.nl/pom.xml;nl/org.eclipse.birt.data.oda.mongodb.nl/pom.xml;nl/org.eclipse.birt.data.oda.mongodb.ui.nl/pom.xml;nl/org.eclipse.birt.data.oda.pojo.nl/pom.xml;nl/org.eclipse.birt.data.oda.pojo.ui.nl/pom.xml;nl/org.eclipse.birt.integration.wtp.ui.nl/pom.xml;nl/org.eclipse.birt.report.data.adapter.nl/pom.xml;nl/org.eclipse.birt.report.data.bidi.utils.nl/pom.xml;nl/org.eclipse.birt.report.data.oda.excel.nl/pom.xml;nl/org.eclipse.birt.report.data.oda.excel.ui.nl/pom.xml;nl/org.eclipse.birt.report.data.oda.hive.nl/pom.xml;nl/org.eclipse.birt.report.data.oda.hive.ui.nl/pom.xml;nl/org.eclipse.birt.report.data.oda.jdbc.dbprofile.nl/pom.xml;nl/org.eclipse.birt.report.data.oda.jdbc.dbprofile.sampledb.nl/pom.xml;nl/org.eclipse.birt.report.data.oda.jdbc.dbprofile.ui.nl/pom.xml;nl/org.eclipse.birt.report.data.oda.jdbc.nl/pom.xml;nl/org.eclipse.birt.report.data.oda.jdbc.ui.nl/pom.xml;nl/org.eclipse.birt.report.data.oda.sampledb.nl/pom.xml;nl/org.eclipse.birt.report.data.oda.sampledb.ui.nl/pom.xml;nl/org.eclipse.birt.report.data.oda.xml.nl/pom.xml;nl/org.eclipse.birt.report.data.oda.xml.ui.nl/pom.xml;nl/org.eclipse.birt.report.debug.core.nl/pom.xml;nl/org.eclipse.birt.report.debug.ui.nl/pom.xml;nl/org.eclipse.birt.report.designer.core.nl/pom.xml;nl/org.eclipse.birt.report.designer.ui.cubebuilder.nl/pom.xml;nl/org.eclipse.birt.report.designer.ui.editor.script.nl/pom.xml;nl/org.eclipse.birt.report.designer.ui.editor.xml.wtp.nl/pom.xml;nl/org.eclipse.birt.report.designer.ui.editors.nl/pom.xml;nl/org.eclipse.birt.report.designer.ui.editors.schematic.nl/pom.xml;nl/org.eclipse.birt.report.designer.ui.ide.nl/pom.xml;nl/org.eclipse.birt.report.designer.ui.lib.explorer.nl/pom.xml;nl/org.eclipse.birt.report.designer.ui.lib.nl/pom.xml;nl/org.eclipse.birt.report.designer.ui.nl/pom.xml;nl/org.eclipse.birt.report.designer.ui.preview.nl/pom.xml;nl/org.eclipse.birt.report.designer.ui.preview.web.nl/pom.xml;nl/org.eclipse.birt.report.designer.ui.rcp.nl/pom.xml;nl/org.eclipse.birt.report.designer.ui.samples.ide.nl/pom.xml;nl/org.eclipse.birt.report.designer.ui.samplesview.nl/pom.xml;nl/org.eclipse.birt.report.designer.ui.views.nl/pom.xml;nl/org.eclipse.birt.report.engine.dataextraction.csv.nl/pom.xml;nl/org.eclipse.birt.report.engine.dataextraction.nl/pom.xml;nl/org.eclipse.birt.report.engine.emitter.config.docx.nl/pom.xml;nl/org.eclipse.birt.report.engine.emitter.config.excel.nl/pom.xml;nl/org.eclipse.birt.report.engine.emitter.config.html.nl/pom.xml;nl/org.eclipse.birt.report.engine.emitter.config.nl/pom.xml;nl/org.eclipse.birt.report.engine.emitter.config.pdf.nl/pom.xml;nl/org.eclipse.birt.report.engine.emitter.config.postscript.nl/pom.xml;nl/org.eclipse.birt.report.engine.emitter.config.ppt.nl/pom.xml;nl/org.eclipse.birt.report.engine.emitter.config.pptx.nl/pom.xml;nl/org.eclipse.birt.report.engine.emitter.config.wpml.nl/pom.xml;nl/org.eclipse.birt.report.engine.nl/pom.xml;nl/org.eclipse.birt.report.item.crosstab.core.nl/pom.xml;nl/org.eclipse.birt.report.item.crosstab.ui.nl/pom.xml;nl/org.eclipse.birt.report.model.nl/pom.xml;nl/org.eclipse.birt.report.viewer.nl/pom.xml;nl/org.eclipse.birt.resources.nl/pom.xml;nl/pom.xml;pom.xml;testsuites/org.eclipse.birt.report.tests.chart/pom.xml;testsuites/org.eclipse.birt.report.tests.engine.emitter.html/pom.xml;testsuites/org.eclipse.birt.report.tests.engine/pom.xml;testsuites/org.eclipse.birt.report.tests.model/pom.xml;testsuites/org.eclipse.birt.tests.core/pom.xml;testsuites/org.eclipse.birt.tests.data/pom.xml;testsuites/org.eclipse.birt.tests/pom.xml;testsuites/pom.xml;tutorial/extension-tutorial-1/pom.xml;tutorial/extension-tutorial-2/pom.xml;viewer/org.eclipse.birt.axis.overlay/pom.xml;viewer/org.eclipse.birt.integration.wtp.ui/pom.xml;viewer/org.eclipse.birt.jetty.overlay/pom.xml;viewer/org.eclipse.birt.report.viewer.tests/pom.xml;viewer/org.eclipse.birt.report.viewer/pom.xml;viewer/pom.xml;xtab/org.eclipse.birt.report.item.crosstab.core.tests/pom.xml;xtab/org.eclipse.birt.report.item.crosstab.core/pom.xml;xtab/org.eclipse.birt.report.item.crosstab.ui/pom.xml;xtab/pom.xml;,,,.github/workflows/ci.yml;
jitpack/gradle-simple,https://github.com/jitpack/gradle-simple,master,0d2c1a6644616e98f72f401a75af9c1baa4c69ed,53,318,21/07/2022 16:38:45,,build.gradle;,,.github/workflows/gradle-wrapper-validation.yml;
stripe-archive/accept-a-card-payment,https://github.com/stripe-archive/accept-a-card-payment,master,6b74eaed0f0c5a1b104d3933036560c1bbd3ee08,347,320,21/07/2022 16:39:51,decline-on-card-authentication/server/java/pom.xml;using-webhooks/server/java/pom.xml;without-webhooks/server/java/pom.xml;,using-webhooks/client/android/app/build.gradle;using-webhooks/client/android/build.gradle;using-webhooks/client/android/settings.gradle;without-webhooks/client/android/app/build.gradle;without-webhooks/client/android/build.gradle;without-webhooks/client/android/settings.gradle;,,.github/workflows/ci.yml;
SonarOpenCommunity/sonar-cxx,https://github.com/SonarOpenCommunity/sonar-cxx,master,c5229cd7b92dfcf468957aba3324837a5ed5d4c3,813,325,21/07/2022 16:39:51,cxx-checks/pom.xml;cxx-sensors/pom.xml;cxx-squid-bridge/pom.xml;cxx-squid/pom.xml;cxx-sslr-toolkit/pom.xml;cxx-sslr/pom.xml;cxx-sslr/sslr-core/pom.xml;cxx-sslr/sslr-testing-harness/pom.xml;cxx-sslr/sslr-tests/pom.xml;cxx-sslr/sslr-toolkit/pom.xml;cxx-sslr/sslr-xpath/pom.xml;integration-tests/pom.xml;pom.xml;sonar-cxx-plugin/pom.xml;,,,.github/workflows/codeql-analysis.yml;.github/workflows/cxx-ci.yml;
apache/ofbiz-framework,https://github.com/apache/ofbiz-framework,trunk,20ccb4dcfd79ab2fdbf8844ebd3be523e30e906f,464,356,21/07/2022 16:39:49,,build.gradle;common.gradle;framework/resources/templates/build.gradle;settings.gradle;,,.github/workflows/codeql-analysis.yml;.github/workflows/gradle.yaml;
xp-dojo/tdd-bank-account-java,https://github.com/xp-dojo/tdd-bank-account-java,master,8b7e7e90643b88f12306b2516ec64e6dbdf27a80,4,359,21/07/2022 16:38:45,,,,.github/workflows/build_sh.yml;
jenkinsci/git-client-plugin,https://github.com/jenkinsci/git-client-plugin,master,27151ddd563bbfeb2a2266e4b0e8517508cb8360,122,360,21/07/2022 16:38:54,pom.xml;,,,.github/workflows/labeler.yml;.github/workflows/release-drafter.yml;
88250/symphony,https://github.com/88250/symphony,master,83c4cfcc81b0438fa29b8076f7534fbfcc447114,1642,366,21/07/2022 16:38:54,pom.xml;,,,.github/workflows/ci.yml;.github/workflows/dockerimage.yml;
mate-academy/jv-fruit-shop,https://github.com/mate-academy/jv-fruit-shop,master,a348039be1c2082482c3ca9519971af4b1b69b59,1,384,21/07/2022 16:38:45,pom.xml;,,,.github/workflows/ci.yml;
