    158 /home/runner/work/Algorithms/Algorithms/target/surefire-reports/
     16 /home/runner/work/Algorithms/Algorithms/optimizing-ci-builds-ci-analysis/step-details/
     13 /home/runner/work/Algorithms/Algorithms/.git/hooks/
      4 /home/runner/work/Algorithms/Algorithms/target/maven-status/
      3 /home/runner/work/Algorithms/Algorithms/target/site/
      1 /home/runner/work/Algorithms/Algorithms/target/;checkstyle-result.xml;
      1 /home/runner/work/Algorithms/Algorithms/target/;checkstyle-header.txt;
      1 /home/runner/work/Algorithms/Algorithms/target/;checkstyle-cachefile;
      1 /home/runner/work/Algorithms/Algorithms/;README.md;
      1 /home/runner/work/Algorithms/Algorithms/optimizing-ci-builds-ci-analysis/;useful.csv;
      1 /home/runner/work/Algorithms/Algorithms/optimizing-ci-builds-ci-analysis/;steps.csv;
      1 /home/runner/work/Algorithms/Algorithms/optimizing-ci-builds-ci-analysis/;job.csv;
      1 /home/runner/work/Algorithms/Algorithms/optimizing-ci-builds-ci-analysis/;inotify-logs.csv;
      1 /home/runner/work/Algorithms/Algorithms/optimizing-ci-builds-ci-analysis/;directories.txt;
      1 /home/runner/work/Algorithms/Algorithms/.git/;tLCJWii;
      1 /home/runner/work/Algorithms/Algorithms/.git/objects/pack/;tmp_pack_5WFAiY;
      1 /home/runner/work/Algorithms/Algorithms/.git/objects/pack/;tmp_idx_rfbW0G;
      1 /home/runner/work/Algorithms/Algorithms/.git/objects/pack/;pack-d94141155f3defdf3aa7440626f9cee8eb20e6e6.keep;
      1 /home/runner/work/Algorithms/Algorithms/.git/objects/pack/;pack-d94141155f3defdf3aa7440626f9cee8eb20e6e6.idx;
      1 /home/runner/work/Algorithms/Algorithms/.git/objects/;maintenance.lock;
      1 /home/runner/work/Algorithms/Algorithms/.git/logs/
      1 /home/runner/work/Algorithms/Algorithms/.git/;index.lock;
      1 /home/runner/work/Algorithms/Algorithms/;.gitignore;
      1 /home/runner/work/Algorithms/Algorithms/.github/workflows/;check.yml;
      1 /home/runner/work/Algorithms/Algorithms/.github/;FUNDING.yml;
      1 /home/runner/work/Algorithms/Algorithms/.git/;HEAD.lock;
      1 /home/runner/work/Algorithms/Algorithms/.git/;FETCH_HEAD;
      1 /home/runner/work/Algorithms/Algorithms/.git/;description;
      1 /home/runner/work/Algorithms/Algorithms/.git/;config.lock;
