    877 /home/runner/work/JSqlParser/JSqlParser/target/site/
    251 /home/runner/work/JSqlParser/JSqlParser/target/surefire-reports/
     13 /home/runner/work/JSqlParser/JSqlParser/.git/hooks/
     11 /home/runner/work/JSqlParser/JSqlParser/optimizing-ci-builds-ci-analysis/step-details/
      5 /home/runner/work/JSqlParser/JSqlParser/config/checkstyle/
      4 /home/runner/work/JSqlParser/JSqlParser/target/maven-status/
      2 /home/runner/work/JSqlParser/JSqlParser/gradle/
      1 /home/runner/work/JSqlParser/JSqlParser/;.travis.yml;
      1 /home/runner/work/JSqlParser/JSqlParser/target/test-classes/net/sf/jsqlparser/statement/select/;large-sql-issue-923.txt;
      1 /home/runner/work/JSqlParser/JSqlParser/target/;jsqlparser-4.6-SNAPSHOT-sources.jar;
      1 /home/runner/work/JSqlParser/JSqlParser/target/;jsqlparser-4.6-SNAPSHOT-javadoc.jar;
      1 /home/runner/work/JSqlParser/JSqlParser/target/;jsqlparser-4.6-SNAPSHOT.jar;
      1 /home/runner/work/JSqlParser/JSqlParser/target/javadoc-bundle-options/;javadoc-options-javadoc-resources.xml;
      1 /home/runner/work/JSqlParser/JSqlParser/target/javacc-1680158200989/parser/;SimpleCharStream.java;
      1 /home/runner/work/JSqlParser/JSqlParser/target/generated-sources/jjtree-timestamp/
      1 /home/runner/work/JSqlParser/JSqlParser/target/generated-sources/jjtree/net/sf/jsqlparser/parser/;SimpleNode.java_127974569091;
      1 /home/runner/work/JSqlParser/JSqlParser/target/generated-sources/jjtree/net/sf/jsqlparser/parser/;Node.java_127974569091;
      1 /home/runner/work/JSqlParser/JSqlParser/target/generated-sources/jjtree/net/sf/jsqlparser/parser/;JJTCCJSqlParserState.java_127974569091;
      1 /home/runner/work/JSqlParser/JSqlParser/target/generated-sources/jjtree/net/sf/jsqlparser/parser/;CCJSqlParserVisitor.java_127974569091;
      1 /home/runner/work/JSqlParser/JSqlParser/target/generated-sources/jjtree/net/sf/jsqlparser/parser/;CCJSqlParserTreeConstants.java_127974569091;
      1 /home/runner/work/JSqlParser/JSqlParser/target/generated-sources/jjtree/net/sf/jsqlparser/parser/;CCJSqlParserDefaultVisitor.java_127974569091;
      1 /home/runner/work/JSqlParser/JSqlParser/target/generated-sources/javacc/net/sf/jsqlparser/parser/;TokenMgrException.java_127974569091;
      1 /home/runner/work/JSqlParser/JSqlParser/target/generated-sources/javacc/net/sf/jsqlparser/parser/;Token.java_127974569091;
      1 /home/runner/work/JSqlParser/JSqlParser/target/generated-sources/javacc/net/sf/jsqlparser/parser/;StringProvider.java_127974569091;
      1 /home/runner/work/JSqlParser/JSqlParser/target/generated-sources/javacc/net/sf/jsqlparser/parser/;StreamProvider.java_127974569091;
      1 /home/runner/work/JSqlParser/JSqlParser/target/generated-sources/javacc/net/sf/jsqlparser/parser/;Provider.java_127974569091;
      1 /home/runner/work/JSqlParser/JSqlParser/target/generated-sources/javacc/net/sf/jsqlparser/parser/;ParseException.java_127974569091;
      1 /home/runner/work/JSqlParser/JSqlParser/target/generated-sources/javacc/net/sf/jsqlparser/parser/;CCJSqlParserTokenManager.java_127974569091;
      1 /home/runner/work/JSqlParser/JSqlParser/target/generated-sources/javacc/net/sf/jsqlparser/parser/;CCJSqlParser.java_127974569091;
      1 /home/runner/work/JSqlParser/JSqlParser/target/generated-sources/javacc/net/sf/jsqlparser/parser/;CCJSqlParserConstants.java_127974569091;
      1 /home/runner/work/JSqlParser/JSqlParser/target/classes/META-INF/
      1 /home/runner/work/JSqlParser/JSqlParser/target/;checkstyle-cachefile;
      1 /home/runner/work/JSqlParser/JSqlParser/src/test/resources/net/sf/jsqlparser/statement/select/;performanceIssue1397.sql_127974569091;
      1 /home/runner/work/JSqlParser/JSqlParser/src/test/resources/net/sf/jsqlparser/statement/select/oracle-tests/;xmltable02.sql_127974569091;
      1 /home/runner/work/JSqlParser/JSqlParser/src/test/resources/net/sf/jsqlparser/statement/select/oracle-tests/;xmltable01.sql_127974569091;
      1 /home/runner/work/JSqlParser/JSqlParser/src/test/resources/net/sf/jsqlparser/statement/select/oracle-tests/;union10.sql_127974569091;
      1 /home/runner/work/JSqlParser/JSqlParser/src/test/resources/net/sf/jsqlparser/statement/select/oracle-tests/;union09.sql_127974569091;
      1 /home/runner/work/JSqlParser/JSqlParser/src/test/resources/net/sf/jsqlparser/statement/select/oracle-tests/;union08.sql_127974569091;
      1 /home/runner/work/JSqlParser/JSqlParser/src/test/resources/net/sf/jsqlparser/statement/select/oracle-tests/;union07.sql_127974569091;
      1 /home/runner/work/JSqlParser/JSqlParser/src/test/resources/net/sf/jsqlparser/statement/select/oracle-tests/;union06.sql_127974569091;
      1 /home/runner/work/JSqlParser/JSqlParser/src/test/resources/net/sf/jsqlparser/statement/select/oracle-tests/;union05.sql_127974569091;
      1 /home/runner/work/JSqlParser/JSqlParser/src/test/resources/net/sf/jsqlparser/statement/select/oracle-tests/;union04.sql_127974569091;
      1 /home/runner/work/JSqlParser/JSqlParser/src/test/resources/net/sf/jsqlparser/statement/select/oracle-tests/;union03.sql_127974569091;
