     66 /home/runner/work/cucumber-java-skeleton/cucumber-java-skeleton/.git/objects/
     24 /home/runner/work/cucumber-java-skeleton/cucumber-java-skeleton/optimizing-ci-builds-ci-analysis/step-details/
     13 /home/runner/work/cucumber-java-skeleton/cucumber-java-skeleton/.git/hooks/
     12 /home/runner/work/cucumber-java-skeleton/cucumber-java-skeleton/gradle/.gradle/7.5.1/
      4 /home/runner/work/cucumber-java-skeleton/cucumber-java-skeleton/maven/target/maven-status/
      3 /home/runner/work/cucumber-java-skeleton/cucumber-java-skeleton/gradle/.gradle/buildOutputCleanup/
      1 /home/runner/work/cucumber-java-skeleton/cucumber-java-skeleton/;README.md;
      1 /home/runner/work/cucumber-java-skeleton/cucumber-java-skeleton/optimizing-ci-builds-ci-analysis/;useful.csv;
      1 /home/runner/work/cucumber-java-skeleton/cucumber-java-skeleton/optimizing-ci-builds-ci-analysis/;steps.csv;
      1 /home/runner/work/cucumber-java-skeleton/cucumber-java-skeleton/optimizing-ci-builds-ci-analysis/;job.csv;
      1 /home/runner/work/cucumber-java-skeleton/cucumber-java-skeleton/optimizing-ci-builds-ci-analysis/;inotify-logs.csv;
      1 /home/runner/work/cucumber-java-skeleton/cucumber-java-skeleton/optimizing-ci-builds-ci-analysis/;directories.txt;
      1 /home/runner/work/cucumber-java-skeleton/cucumber-java-skeleton/maven/target/surefire-reports/;TEST-io.cucumber.skeleton.RunCucumberTest.xml;
      1 /home/runner/work/cucumber-java-skeleton/cucumber-java-skeleton/maven/.mvn/wrapper/;MavenWrapperDownloader.java;
      1 /home/runner/work/cucumber-java-skeleton/cucumber-java-skeleton/maven/;mvnw.cmd;
      1 /home/runner/work/cucumber-java-skeleton/cucumber-java-skeleton/maven/;.gitignore;
      1 /home/runner/work/cucumber-java-skeleton/cucumber-java-skeleton/;LICENCE;
      1 /home/runner/work/cucumber-java-skeleton/cucumber-java-skeleton/gradle/;gradlew.bat;
      1 /home/runner/work/cucumber-java-skeleton/cucumber-java-skeleton/gradle/.gradle/vcs-1/
      1 /home/runner/work/cucumber-java-skeleton/cucumber-java-skeleton/gradle/.gradle/
      1 /home/runner/work/cucumber-java-skeleton/cucumber-java-skeleton/gradle/;.gitignore;
      1 /home/runner/work/cucumber-java-skeleton/cucumber-java-skeleton/.git/;tBWHrdU;
      1 /home/runner/work/cucumber-java-skeleton/cucumber-java-skeleton/.git/logs/
      1 /home/runner/work/cucumber-java-skeleton/cucumber-java-skeleton/.git/;index.lock;
      1 /home/runner/work/cucumber-java-skeleton/cucumber-java-skeleton/;.gitignore;
      1 /home/runner/work/cucumber-java-skeleton/cucumber-java-skeleton/.github/workflows/;build.yml;
      1 /home/runner/work/cucumber-java-skeleton/cucumber-java-skeleton/.github/;renovate.json;
      1 /home/runner/work/cucumber-java-skeleton/cucumber-java-skeleton/.git/;HEAD.lock;
      1 /home/runner/work/cucumber-java-skeleton/cucumber-java-skeleton/.git/;FETCH_HEAD;
      1 /home/runner/work/cucumber-java-skeleton/cucumber-java-skeleton/.git/;description;
      1 /home/runner/work/cucumber-java-skeleton/cucumber-java-skeleton/.git/;config.lock;
