    645 /home/runner/work/soot/soot/src/main/generated/
    337 /home/runner/work/soot/soot/eclipse/
    253 /home/runner/work/soot/soot/tutorial/
     39 /home/runner/work/soot/soot/src/it/tests/
     14 /home/runner/work/soot/soot/optimizing-ci-builds-ci-analysis/step-details/
     13 /home/runner/work/soot/soot/src/main/xml/
     13 /home/runner/work/soot/soot/.git/hooks/
     11 /home/runner/work/soot/soot/src/test/resources/
      8 /home/runner/work/soot/soot/doc/
      6 /home/runner/work/soot/soot/src/systemTest/targets-resources/
      5 /home/runner/work/soot/soot/src/main/resources/
      2 /home/runner/work/soot/soot/src/systemTest/resources/
      2 /home/runner/work/soot/soot/src/main/java/soot/javaToJimple/jj/tests/
      2 /home/runner/work/soot/soot/src/main/grammar/
      2 /home/runner/work/soot/soot/.github/ISSUE_TEMPLATE/
      1 /home/runner/work/soot/soot/;TODO.txt;
      1 /home/runner/work/soot/soot/;TODO;
      1 /home/runner/work/soot/soot/target/;checkstyle-header.txt;
      1 /home/runner/work/soot/soot/target/;checkstyle-cachefile;
      1 /home/runner/work/soot/soot/src/test/java/soot/util/;SmallPriorityQueueTest.java_214739438373;
      1 /home/runner/work/soot/soot/src/test/java/soot/util/queue/;ChunkedQueueTest.java_214739438373;
      1 /home/runner/work/soot/soot/src/test/java/soot/util/;MediumPriorityQueueTest.java_214739438373;
      1 /home/runner/work/soot/soot/src/test/java/soot/util/;LargePriorityQueueTest.java_214739438373;
      1 /home/runner/work/soot/soot/src/test/java/soot/util/;BitVector_intersects_Test.java_214739438373;
      1 /home/runner/work/soot/soot/src/test/java/soot/util/backend/;SootASMClassWriterTest.java_214739438373;
      1 /home/runner/work/soot/soot/src/test/java/soot/toolkits/scalar/;CombinedDUAnalysisTest.java_214739438373;
      1 /home/runner/work/soot/soot/src/test/java/soot/toolkits/scalar/;ArraySparseSetTest.java_214739438373;
      1 /home/runner/work/soot/soot/src/test/java/soot/toolkits/scalar/;ArrayPackedSetTest.java_214739438373;
      1 /home/runner/work/soot/soot/src/test/java/soot/toolkits/purity/;PurityTest.java_214739438373;
      1 /home/runner/work/soot/soot/src/test/java/soot/toolkits/purity/;BinarySearchTree.java_214739438373;
      1 /home/runner/work/soot/soot/src/test/java/soot/toolkits/graph/;TestDominance.java_214739438373;
      1 /home/runner/work/soot/soot/src/test/java/soot/toolkits/graph/targets/;TestException.java_214739438373;
      1 /home/runner/work/soot/soot/src/test/java/soot/toolkits/graph/;SlowPseudoTopologicalOrdererTest.java_214739438373;
      1 /home/runner/work/soot/soot/src/test/java/soot/toolkits/graph/;SCCFastTest.java_214739438373;
      1 /home/runner/work/soot/soot/src/test/java/soot/toolkits/graph/;PseudoTopologicalOrdererTest.java_214739438373;
      1 /home/runner/work/soot/soot/src/test/java/soot/toolkits/graph/;PseudoTopologicalOrdererTestBase.java_214739438373;
      1 /home/runner/work/soot/soot/src/test/java/soot/toolkits/graph/;GraphComparer.java_214739438373;
      1 /home/runner/work/soot/soot/src/test/java/soot/toolkits/graph/;EnhancedUnitGraphTestUtility.java_214739438373;
      1 /home/runner/work/soot/soot/src/test/java/soot/toolkits/graph/;EnhancedUnitGraphTest.java_214739438373;
      1 /home/runner/work/soot/soot/src/test/java/soot/toolkits/exceptions/;UnitThrowAnalysisTest.java_214739438373;
      1 /home/runner/work/soot/soot/src/test/java/soot/toolkits/exceptions/;ThrowableSetTest.java_214739438373;
      1 /home/runner/work/soot/soot/src/test/java/soot/toolkits/exceptions/targets/;MyException.java_214739438373;
      1 /home/runner/work/soot/soot/src/test/java/soot/toolkits/exceptions/targets/;MethodThrowableSetClass.java_214739438373;
      1 /home/runner/work/soot/soot/src/test/java/soot/toolkits/exceptions/;MethodThrowableSetTest.java_214739438373;
      1 /home/runner/work/soot/soot/src/test/java/soot/toolkits/exceptions/;ExceptionTestUtility.java_214739438373;
