     74 /home/runner/work/Java-WebSocket/Java-WebSocket/src/test/
     20 /home/runner/work/Java-WebSocket/Java-WebSocket/src/main/example/
     13 /home/runner/work/Java-WebSocket/Java-WebSocket/optimizing-ci-builds-ci-analysis/step-details/
     13 /home/runner/work/Java-WebSocket/Java-WebSocket/.git/hooks/
      3 /home/runner/work/Java-WebSocket/Java-WebSocket/.github/ISSUE_TEMPLATE/
      3 /home/runner/work/Java-WebSocket/Java-WebSocket/autobahn reports/
      1 /home/runner/work/Java-WebSocket/Java-WebSocket/target/;checkstyle-suppressions.xml;
      1 /home/runner/work/Java-WebSocket/Java-WebSocket/target/;checkstyle-cachefile;
      1 /home/runner/work/Java-WebSocket/Java-WebSocket/;sonar-project.properties;
      1 /home/runner/work/Java-WebSocket/Java-WebSocket/;README.markdown;
      1 /home/runner/work/Java-WebSocket/Java-WebSocket/optimizing-ci-builds-ci-analysis/;useful.csv;
      1 /home/runner/work/Java-WebSocket/Java-WebSocket/optimizing-ci-builds-ci-analysis/;steps.csv;
      1 /home/runner/work/Java-WebSocket/Java-WebSocket/optimizing-ci-builds-ci-analysis/;inotify-logs.csv;
      1 /home/runner/work/Java-WebSocket/Java-WebSocket/optimizing-ci-builds-ci-analysis/;directories.txt;
      1 /home/runner/work/Java-WebSocket/Java-WebSocket/;LICENSE;
      1 /home/runner/work/Java-WebSocket/Java-WebSocket/;intellij-java-google-style.xml;
      1 /home/runner/work/Java-WebSocket/Java-WebSocket/.git/;tWmj3xu;
      1 /home/runner/work/Java-WebSocket/Java-WebSocket/.git/objects/pack/;tmp_pack_WbSN9j;
      1 /home/runner/work/Java-WebSocket/Java-WebSocket/.git/objects/pack/;tmp_idx_ssYVWm;
      1 /home/runner/work/Java-WebSocket/Java-WebSocket/.git/objects/pack/;pack-54a5e6253d220d4f207eb7cdcd496b377f37e5af.keep;
      1 /home/runner/work/Java-WebSocket/Java-WebSocket/.git/objects/pack/;pack-54a5e6253d220d4f207eb7cdcd496b377f37e5af.idx;
      1 /home/runner/work/Java-WebSocket/Java-WebSocket/.git/objects/;maintenance.lock;
      1 /home/runner/work/Java-WebSocket/Java-WebSocket/.git/logs/
      1 /home/runner/work/Java-WebSocket/Java-WebSocket/.git/;index.lock;
      1 /home/runner/work/Java-WebSocket/Java-WebSocket/;.gitignore;
      1 /home/runner/work/Java-WebSocket/Java-WebSocket/.github/workflows/;sonar.yml;
      1 /home/runner/work/Java-WebSocket/Java-WebSocket/.github/workflows/;ci.yml;
      1 /home/runner/work/Java-WebSocket/Java-WebSocket/.github/workflows/;checkstyle.yml;
      1 /home/runner/work/Java-WebSocket/Java-WebSocket/.github/;PULL_REQUEST_TEMPLATE.md;
      1 /home/runner/work/Java-WebSocket/Java-WebSocket/.git/;HEAD.lock;
      1 /home/runner/work/Java-WebSocket/Java-WebSocket/.git/;FETCH_HEAD;
      1 /home/runner/work/Java-WebSocket/Java-WebSocket/.git/;description;
      1 /home/runner/work/Java-WebSocket/Java-WebSocket/.git/;config.lock;
      1 /home/runner/work/Java-WebSocket/Java-WebSocket/;eclipse-java-google-style.xml;
      1 /home/runner/work/Java-WebSocket/Java-WebSocket/;CHANGELOG.md;
      1 /home/runner/work/Java-WebSocket/Java-WebSocket/;build.gradle;
