     34 /home/runner/work/kafdrop/kafdrop/src/main/resources/static/
     14 /home/runner/work/kafdrop/kafdrop/optimizing-ci-builds-ci-analysis/step-details/
     13 /home/runner/work/kafdrop/kafdrop/.git/hooks/
      8 /home/runner/work/kafdrop/kafdrop/chart/
      4 /home/runner/work/kafdrop/kafdrop/target/surefire-reports/
      4 /home/runner/work/kafdrop/kafdrop/target/maven-status/
      3 /home/runner/work/kafdrop/kafdrop/theme/
      3 /home/runner/work/kafdrop/kafdrop/src/test/resources/
      3 /home/runner/work/kafdrop/kafdrop/.mvn/
      2 /home/runner/work/kafdrop/kafdrop/target/docker-ready/
      1 /home/runner/work/kafdrop/kafdrop/target/test-classes/;sasl-ssl.properties;
      1 /home/runner/work/kafdrop/kafdrop/target/test-classes/;person.proto;
      1 /home/runner/work/kafdrop/kafdrop/target/test-classes/;person.desc;
      1 /home/runner/work/kafdrop/kafdrop/target/;kafdrop-3.31.0-SNAPSHOT.jar;
      1 /home/runner/work/kafdrop/kafdrop/target/failsafe-reports/;TEST-kafdrop.KafdropIT.xml;
      1 /home/runner/work/kafdrop/kafdrop/;README.md;
      1 /home/runner/work/kafdrop/kafdrop/optimizing-ci-builds-ci-analysis/;useful.csv;
      1 /home/runner/work/kafdrop/kafdrop/optimizing-ci-builds-ci-analysis/;steps.csv;
      1 /home/runner/work/kafdrop/kafdrop/optimizing-ci-builds-ci-analysis/;job.csv;
      1 /home/runner/work/kafdrop/kafdrop/optimizing-ci-builds-ci-analysis/;inotify-logs.csv;
      1 /home/runner/work/kafdrop/kafdrop/optimizing-ci-builds-ci-analysis/;directories.txt;
      1 /home/runner/work/kafdrop/kafdrop/;mvnw.cmd;
      1 /home/runner/work/kafdrop/kafdrop/;mvnw;
      1 /home/runner/work/kafdrop/kafdrop/;LICENSE;
      1 /home/runner/work/kafdrop/kafdrop/;kaas_local_jaas.conf;
      1 /home/runner/work/kafdrop/kafdrop/.git/;tPMDxZA;
      1 /home/runner/work/kafdrop/kafdrop/.git/objects/pack/;tmp_pack_bzmftZ;
      1 /home/runner/work/kafdrop/kafdrop/.git/objects/pack/;tmp_idx_7kGRwh;
      1 /home/runner/work/kafdrop/kafdrop/.git/objects/pack/;pack-af95621f19fd8b47440c84f95e943ff01dbb1363.keep;
      1 /home/runner/work/kafdrop/kafdrop/.git/objects/pack/;pack-af95621f19fd8b47440c84f95e943ff01dbb1363.idx;
      1 /home/runner/work/kafdrop/kafdrop/.git/objects/;maintenance.lock;
      1 /home/runner/work/kafdrop/kafdrop/.git/logs/
      1 /home/runner/work/kafdrop/kafdrop/.git/;index.lock;
      1 /home/runner/work/kafdrop/kafdrop/;.gitignore;
      1 /home/runner/work/kafdrop/kafdrop/.github/workflows/;pull_request.yml;
      1 /home/runner/work/kafdrop/kafdrop/.github/workflows/;master.yml;
      1 /home/runner/work/kafdrop/kafdrop/.github/workflows/;close_inactive_issues.yml;
      1 /home/runner/work/kafdrop/kafdrop/.github/;dependabot.yml;
      1 /home/runner/work/kafdrop/kafdrop/.git/;HEAD.lock;
      1 /home/runner/work/kafdrop/kafdrop/.git/;FETCH_HEAD;
      1 /home/runner/work/kafdrop/kafdrop/.git/;description;
      1 /home/runner/work/kafdrop/kafdrop/.git/;config.lock;
      1 /home/runner/work/kafdrop/kafdrop/docs/
      1 /home/runner/work/kafdrop/kafdrop/docker-compose/
