     66 /home/runner/work/open-location-code/open-location-code/android_demo/
     51 /home/runner/work/open-location-code/open-location-code/garmin/
     20 /home/runner/work/open-location-code/open-location-code/js/
     14 /home/runner/work/open-location-code/open-location-code/c/
     13 /home/runner/work/open-location-code/open-location-code/java/
     13 /home/runner/work/open-location-code/open-location-code/.git/hooks/
     13 /home/runner/work/open-location-code/open-location-code/dart/
     12 /home/runner/work/open-location-code/open-location-code/cpp/
      7 /home/runner/work/open-location-code/open-location-code/python/
      7 /home/runner/work/open-location-code/open-location-code/optimizing-ci-builds-ci-analysis/step-details/
      7 /home/runner/work/open-location-code/open-location-code/docs/
      6 /home/runner/work/open-location-code/open-location-code/ruby/
      5 /home/runner/work/open-location-code/open-location-code/rust/
      3 /home/runner/work/open-location-code/open-location-code/plpgsql/
      2 /home/runner/work/open-location-code/open-location-code/visualbasic/
      1 /home/runner/work/open-location-code/open-location-code/;WORKSPACE;
      1 /home/runner/work/open-location-code/open-location-code/tile_server/;README.md;
      1 /home/runner/work/open-location-code/open-location-code/tile_server/;main.go;
      1 /home/runner/work/open-location-code/open-location-code/tile_server/;example.html;
      1 /home/runner/work/open-location-code/open-location-code/;TESTING.md;
      1 /home/runner/work/open-location-code/open-location-code/;README.md;
      1 /home/runner/work/open-location-code/open-location-code/;package.json;
      1 /home/runner/work/open-location-code/open-location-code/optimizing-ci-builds-ci-analysis/;useful.csv;
      1 /home/runner/work/open-location-code/open-location-code/optimizing-ci-builds-ci-analysis/;steps.csv;
      1 /home/runner/work/open-location-code/open-location-code/optimizing-ci-builds-ci-analysis/;inotify-logs.csv;
      1 /home/runner/work/open-location-code/open-location-code/optimizing-ci-builds-ci-analysis/;directories.txt;
      1 /home/runner/work/open-location-code/open-location-code/objective-c/
      1 /home/runner/work/open-location-code/open-location-code/;LICENSE;
      1 /home/runner/work/open-location-code/open-location-code/go/;README.md;
      1 /home/runner/work/open-location-code/open-location-code/go/;go.sum;
      1 /home/runner/work/open-location-code/open-location-code/.git/;tXXkg89;
      1 /home/runner/work/open-location-code/open-location-code/.git/objects/pack/;tmp_pack_yDU2fm;
      1 /home/runner/work/open-location-code/open-location-code/.git/objects/pack/;tmp_idx_SmNPBv;
      1 /home/runner/work/open-location-code/open-location-code/.git/objects/pack/;pack-4ec6ee184891a5973f12da7cdb8512befd2d2dd3.keep;
      1 /home/runner/work/open-location-code/open-location-code/.git/objects/pack/;pack-4ec6ee184891a5973f12da7cdb8512befd2d2dd3.idx;
      1 /home/runner/work/open-location-code/open-location-code/.git/objects/;maintenance.lock;
      1 /home/runner/work/open-location-code/open-location-code/.git/logs/
      1 /home/runner/work/open-location-code/open-location-code/.git/;index.lock;
      1 /home/runner/work/open-location-code/open-location-code/;.gitignore;
      1 /home/runner/work/open-location-code/open-location-code/.github/workflows/;main.yml;
      1 /home/runner/work/open-location-code/open-location-code/.git/;HEAD.lock;
      1 /home/runner/work/open-location-code/open-location-code/.git/;FETCH_HEAD;
      1 /home/runner/work/open-location-code/open-location-code/.git/;description;
      1 /home/runner/work/open-location-code/open-location-code/.git/;config.lock;
      1 /home/runner/work/open-location-code/open-location-code/;FAQ.txt;
      1 /home/runner/work/open-location-code/open-location-code/emacs/
      1 /home/runner/work/open-location-code/open-location-code/;CONTRIBUTING.md;
      1 /home/runner/work/open-location-code/open-location-code/common-lisp/
      1 /home/runner/work/open-location-code/open-location-code/;CHANGELOG.md;
      1 /home/runner/work/open-location-code/open-location-code/;.bazelrc;
      1 /home/runner/work/open-location-code/open-location-code/;API.txt;
