#Project Name,File Name,Jobs Name,Status without Instrumentation,Status with Instrumentation
matsim-example-project,Java CI with Maven.json,build,success,success
bytecode-viewer,Build BCV.json,build (8),cancelled,failure
bytecode-viewer,Build BCV.json,build (11),cancelled,cancelled
bytecode-viewer,Build BCV.json,build (17),failure,cancelled
UniversalMediaServer,Universal Media Server CI.json,linux-bionic (17),success,success
UniversalMediaServer,Universal Media Server CI.json,linux-focal (17),success,success
UniversalMediaServer,Universal Media Server CI.json,"macos (9.4.1, 17)",success,failure
UniversalMediaServer,Universal Media Server CI.json,"macos (latest, 17)",success,cancelled
UniversalMediaServer,Universal Media Server CI.json,windows-latest (17),success,failure
jhipster-sample-app,Application CI.json,jhipsterSampleApplication pipeline,success,cancelled
poi,Java CI with Gradle.json,build,success,cancelled
Algorithms,QA check.json,build,success,success
MinecraftForge,Support Requests.json,support,success,success
spring-framework-petclinic,Java CI with Maven.json,build,success,success
ysoserial,publish jar.json,publish,failure,failure
jackson-databind,Build and Deploy Snapshot.json,"build (8, ubuntu-20.04)",failure,failure
jackson-databind,Build and Deploy Snapshot.json,"build (11, ubuntu-20.04)",failure,failure
GradleTestCI,Java CI.json,build,success,success
open-location-code,CI.json,test-go,success,success
open-location-code,CI.json,test-c,success,success
open-location-code,CI.json,test-dart,success,success
open-location-code,CI.json,test-cpp,success,success
open-location-code,CI.json,test-java-8,success,success
open-location-code,CI.json,test-java-11,success,success
open-location-code,CI.json,test-java-16,success,success
open-location-code,CI.json,test-java-17,success,success
open-location-code,CI.json,test-js,success,success
open-location-code,CI.json,test-js-closure,success,success
open-location-code,CI.json,test-python-2.7,cancelled,cancelled
open-location-code,CI.json,test-python-3.6,failure,failure
open-location-code,CI.json,test-python-3.7,cancelled,cancelled
open-location-code,CI.json,test-python-3.8,cancelled,cancelled
open-location-code,CI.json,test-ruby,failure,failure
open-location-code,CI.json,test-rust,success,success
jv-array-list,Java CI.json,build,failure,failure
repository-permissions-updater,Hosting checker.json,hosting,failure,failure
mooc-software-testing,Java CI with Maven.json,build,success,success
MavenTestCI,Java CI.json,build,success,success
JSqlParser,Java CI with Maven.json,Java 8 building ...,success,success
JSqlParser,Java CI with Maven.json,Java 11 building ...,success,success
neo4j-apoc-procedures,CI.json,build,failure,failure
orders,ci.json,test,failure,failure
junit4,CI.json,Build and verify (JDK 6),failure,failure
junit4,CI.json,Build and verify (JDK 8),success,success
junit4,CI.json,Build and verify (JDK 11),success,success
junit4,CI.json,Build and verify (JDK 17),success,success
junit4,CI.json,Publish snapshot artifacts,skipped,skipped
dynamic-datasource-spring-boot-starter,Java CI with Maven.json,build,success,success
jv-hash-map,Java CI.json,build,failure,failure
aws-cf-templates,CI.json,build,failure,success
mcMMO,Compile and test.json,Maven compiler,success,success
socket.io-client-java,CI.json,verify (7),success,success
socket.io-client-java,CI.json,verify (8),success,success
socket.io-client-java,CI.json,verify (11),success,success
ec2-plugin,Release Drafter.json,update_release_draft,failure,failure
jv-fruit-shop,Java CI.json,build,success,success
fabric-sdk-java,Build.json,test (8),success,success
fabric-sdk-java,Build.json,test (11),success,success
fabric-sdk-java,Build.json,test (17),success,success
spring-data-redis,Spring Data GitHub Issues.json,Feedback-Provided,failure,failure
spring-data-redis,Spring Data GitHub Issues.json,Pull-Request,failure,failure
spring-data-redis,Spring Data GitHub Issues.json,Inbox,failure,failure
soot,Soot CI.json,Check style´and license conformity,success,success
soot,Soot CI.json,Build and Test with java 8,success,success
soot,Soot CI.json,Build and Test with java 9,success,success
soot,Soot CI.json,Build and Test with java 11,success,success
soot,Soot CI.json,Deploy artifacts to Maven Central,failure,failure
webdrivermanager,build.json,"build (ubuntu-latest, 11)",cancelled,cancelled
webdrivermanager,build.json,"build (windows-latest, 11)",cancelled,failure
webdrivermanager,build.json,"build (macos-latest, 11)",failure,cancelled
shipping,ci.json,test,failure,failure
my-app,Java CI.json,build,success,success
Mybatis-PageHelper,Publish package to the Maven Central Repository.json,publish,failure,failure
joda-time,Build.json,build,failure,success
queue-master,ci.json,test,failure,failure
jv-salary-info,Java CI.json,build,failure,failure
javassist,Java CI with Maven.json,"build (ubuntu-latest, 11.0.3)",success,success
javassist,Java CI with Maven.json,"build (ubuntu-latest, 11)",success,success
99-problems,Java CI.json,"Test JDK 8, ubuntu-latest",failure,success
99-problems,Java CI.json,"Test JDK 11, ubuntu-latest",success,success
99-problems,Java CI.json,"Test JDK 15, ubuntu-latest",success,success
99-problems,Java CI.json,"Test JDK 8, macOS-latest",success,failure
99-problems,Java CI.json,"Test JDK 11, macOS-latest",success,failure
99-problems,Java CI.json,"Test JDK 15, macOS-latest",failure,failure
99-problems,Java CI.json,"Test JDK 8, windows-latest",success,failure
